Name,Country,Region,Winery,Rating,Price,Year
Crémant de Loire Brut 2017,France,Crémant de Loire,Langlois-Chateau,3.9,14.41,2017
Vicar's Choice Sauvignon Blanc Bubbles 2019,New Zealand,Marlborough,Saint Clair,4.2,11.9,2019
Athesis Brut 2016,Italy,Südtirol - Alto Adige,Kettmeir,4.0,21.5,2016
Riesling Extra Brut 2015,Germany,Baden,Griesel & Compagnie,4.0,22.13,2015
Brut 2012,United States,Anderson Valley,Roederer Estate,3.9,57.51,2012
Dom Ruinart Rosé Brut Champagne 2007,France,Champagne,Ruinart,4.4,269.0,2007
Donna Cora Spumante 2011,Italy,Toscana,Antinori,3.8,41.29,2011
Asti Dolce 2017,Italy,Asti,Fontanafredda,3.6,14.87,2017
Riesling Brut 2008,Germany,Rheinhessen,Raumland,3.7,27.95,2008
Giovanni Galliano Brut Rosé 2016,Italy,Piemonte,Borgo Maragliano,3.7,22.9,2016
Moscato d'Asti 2019,Italy,Moscato d'Asti,Tenimenti Ca'Bianca,3.9,7.45,2019
San Carlo Moscato d'asti 2017,Italy,Moscato d'Asti,Montalbera,3.8,9.9,2017
Jolie Extra Dry Spumante 2016,Italy,Sicilia,Feudi Branciforti dei Bordonaro,3.6,9.9,2016
Punto Rosa Millesimato 2016,Italy,Veneto,Val d'Oca,3.9,11.95,2016
Brut Rosé 2016,Germany,Baden,Griesel & Compagnie,4.0,31.0,2016
Brut 2010,Germany,Rheingau,Georg Breuer,3.7,35.9,2010
Vintage Chardonnay 2007,Germany,Rheinhessen,Raumland,4.4,70.18,2007
Méthode Cap Classique 2013,South Africa,Stellenbosch,Thelema,3.8,21.9,2013
Brachetto Piemonte 2018,Italy,Piemonte,Borgo Maragliano,4.2,9.9,2018
Rosé Brut 2015,Germany,Rheingau,Schloss Vaux,3.6,25.0,2015
Blanc de Blancs Brut Champagne 2014,France,Champagne,Deutz,4.4,72.0,2014
Izar-Leku Hondarrabi Zuri 2016,Spain,Getariako Txakolina,Artadi,3.9,27.1,2016
Vecchia Modena Premium Mention Honorable 2019,Italy,Lambrusco di Sorbara,Cleto Chiarli,3.8,9.65,2019
Donna Cora 2014,Italy,Franciacorta,Montenisa,4.0,36.5,2014
Kellermeister Edition Sekt Extra Trocken 2016,Germany,Saale-Unstrut,Winzervereinigung Freyburg-Unstrut,3.7,9.83,2016
Millesimato Brut 2014,Italy,Franciacorta,Monzio Compagnoni,3.7,17.9,2014
Perlé Rosé Riserva 2011,Italy,Trento,Ferrari,4.1,92.53,2011
Victor Mandois Brut Champagne 2008,France,Champagne,Mandois,3.9,37.97,2008
Etichetta Nera Spumante Extra Dry 2018,Italy,Veneto,Sacchetto,3.8,9.82,2018
Große Reserve Brut Nature 2015,Austria,Kamptal,Jurtschitsch,3.9,22.13,2015
Vecchie Viti 2018,Italy,Conegliano-Valdobbiadene Prosecco,Ruggeri,4.0,22.99,2018
Cuvée Clive 2014,South Africa,Robertson,Graham Beck,4.2,45.0,2014
Millésimé Crémant du Jura Brut 2014,France,Crémant du Jura,Tissot-Maire,3.7,13.9,2014
Cuvée Esplendor Vinyes Propies 2014,Spain,Penedès,Vardon Kennett,3.5,45.74,2014
Grande Cuvée de Purcari Extra Brut 2016,Moldova,South Eastern,Château Purcari,4.4,49.98,2016
Rosé Prestige Brut 2012,Germany,Rheinhessen,Raumland,4.1,20.28,2012
Blanc de Blancs Brut Champagne Premier Cru 2010,France,Champagne Premier Cru,Paul Michel,3.9,31.68,2010
Vigna Senza Nome Moscato d'Asti 2019,Italy,Moscato d'Asti,Braida,4.1,11.43,2019
Valdobbiadene Millesimato Brut 2017,Italy,Conegliano-Valdobbiadene Prosecco,Borgo Molino,4.1,14.9,2017
Prosecco Millesimato Brut 2018,Italy,Prosecco,Fili,4.0,11.05,2018
Blanc de Noirs Brut 2016,Germany,Baden,Griesel & Compagnie,4.0,15.5,2016
Cuvée Eugénie Crémant de Limoux Brut 2017,France,Crémant de Limoux,Antech,3.6,14.62,2017
‘61 Franciacorta Rosé 1961,Italy,Franciacorta,Berlucchi,3.8,18.91,1961
Cuvée Marie-Luise Brut 2013,Germany,Rheinhessen,Raumland,3.8,17.55,2013
La Croisette Brut Champagne 2014,France,Champagne,Leclerc Briant,4.3,145.7,2014
Vintage Rosé Brut Champagne 2012,France,Champagne,Veuve Clicquot,4.2,78.49,2012
Cristal Rosé Brut Champagne (Millésimé) 2012,France,Champagne,Louis Roederer,4.7,449.9,2012
Valdobbiadene Prosecco Superiore Brut Dosaggio Zero 2018,Italy,Conegliano-Valdobbiadene Prosecco,Col Vetoraz,3.5,14.9,2018
Reserve Rosé Champagne 2005,France,Champagne,Charles Heidsieck,4.2,109.92,2005
Brut Champagne 2010,France,Champagne,Barons de Rothschild (Lafite),4.3,75.95,2010
Inspiration de Saison Extra Brut Champagne 2010,France,Champagne,Michel Loriot,3.9,37.64,2010
Rosa Regale 2019,Italy,Brachetto d'Acqui,Banfi,4.0,7.6,2019
Prosecco Valdobbiadene Rive di Refrontolo Superiore Brut 2018,Italy,Conegliano-Valdobbiadene Prosecco,Santa Margherita,3.8,16.07,2018
Franciacorta Rosé 2013,Italy,Franciacorta,Bellavista,3.9,57.61,2013
Athesis Brut Rosé 2016,Italy,Südtirol - Alto Adige,Kettmeir,3.9,23.11,2016
Il Vino dei Poeti Gold 2018,Italy,Prosecco,Bottega,3.9,19.4,2018
Millesimato Extra Dry Prosecco 2017,Italy,Prosecco,Paladin,3.7,11.36,2017
Trentasei 2014,Italy,Modena,Cantina della Volta,3.8,24.4,2014
Somnam’Bulles 2017,France,Vin de France,Mas del Périé - Fabien Jouves,3.8,13.9,2017
Prosecco Treviso Millesimato Extra Dry 2018,Italy,Prosecco di Treviso,Sanmartino,3.9,10.5,2018
Cuvée Vaux Brut 2016,Germany,Rheingau,Schloss Vaux,3.9,11.62,2016
Millesimé Carte d'Or Brut Champagne Premier Cru 2010,France,Champagne Premier Cru,Henriet-Bazin,3.9,39.95,2010
Millesimé Extra Brut Champagne 2013,France,Champagne,Leclerc Briant,4.3,60.2,2013
Brut Rosé 2015,South Africa,Franschhoek,L'Ormarins,3.7,16.93,2015
Noces de Craie Champagne Grand Cru 'Aÿ' 2015,France,Champagne Grand Cru 'Aÿ',Marc Hébrart,4.4,65.0,2015
Spumante Extra Brut 2015,Italy,Piemonte,Bruno Giacosa,3.6,27.06,2015
L'Ermitage Brut Rosé 2006,United States,Anderson Valley,Roederer Estate,4.2,66.9,2006
Rosé Brut Champagne (Vintage) 2014,France,Champagne,Louis Roederer,4.1,48.64,2014
Cava Organic Brut Nature 2017,Spain,Cava,Vilarnau,3.8,14.53,2017
Rheingauer Réserve Riesling Brut 2014,Germany,Rheingau,Schloss Vaux,3.6,19.0,2014
Molera Valdobbiadene Prosecco Superiore Extra Dry 2017,Italy,Conegliano-Valdobbiadene Prosecco,Bisol,3.9,19.98,2017
Kaapse Vonkel Brut 2018,South Africa,Western Cape,Simonsig,3.9,12.18,2018
Mont Marvin Cuvée Brut Champagne 2011,France,Champagne,Lacroix Triaulaire,4.0,42.0,2011
Rheingauer Réserve Riesling Brut 2015,Germany,Rheingau,Schloss Vaux,3.9,18.5,2015
Riesling Brut 2017,Germany,Rheingau,Kloster Eberbach,3.6,12.6,2017
Riserva Extra Brut 2012,Italy,Trentino-Alto Adige,Arunda,4.1,24.15,2012
Efecte Classic Penedès Brut Reserva 2017,Spain,Penedès,Albet i Noya,3.9,15.6,2017
Triumvirat Grande Cuvée Brut 2009,Germany,Rheinhessen,Raumland,4.1,42.95,2009
'Giulio Ferrari' Riserva del Fondatore Rosé 2006,Italy,Trentino,Ferrari,4.5,239.0,2006
N.P.U Brut Champagne (Nec Plus Ultra) 2004,France,Champagne,Bruno Paillard,4.4,169.0,2004
Teatro Alla Scala 2013,Italy,Franciacorta,Bellavista,4.0,47.53,2013
Il Vino dei Poeti Gold 2017,Italy,Prosecco,Bottega,3.8,19.4,2017
Imperial Brut 2015,Spain,Cava,Gramona,4.0,19.99,2015
L'Authentique Brut Champagne 2009,France,Champagne,Tribaut Schloesser,4.2,78.95,2009
Bricco Quaglia Moscato d'Asti 2019,Italy,Moscato d'Asti,La Spinetta,4.1,15.69,2019
Moscato d'Asti 2019,Italy,Moscato d'Asti,Prunotto,3.9,11.9,2019
Cuvée Prestige Millésimé Brut Champagne 2013,France,Champagne,J.M. Gobillard & Fils,4.2,33.92,2013
Serral del Vell Brut Nature 2009,Spain,Cava,Recaredo,4.3,39.5,2009
Millesimé Brut Champagne 2013,France,Champagne,Deutz,4.0,48.5,2013
Brut 2018,Italy,Conegliano-Valdobbiadene Prosecco,Bepin de Eto,3.8,11.21,2018
Franciacorta Rosé 2015,Italy,Franciacorta,Bellavista,4.1,46.9,2015
Millésime Brut Champagne 2009,France,Champagne,Tribaut Schloesser,4.2,39.95,2009
Conte Aimo Blanc de Noir 2009,Italy,Franciacorta,Montenisa,4.2,47.0,2009
