Name,Country,Region,Winery,Rating,Price,Year
Vermentino 2017,Italy,Toscana,Famiglia Castellani,3.8,5.65,2017
Ronco Broilo 2010,Italy,Colli Orientali del Friuli,Conte d'Attimis Maniago,4.3,44.9,2010
Weisser Schiefer s 2017,Austria,Südburgenland,Weinbau Uwe Schiefer,4.2,33.25,2017
Chardonnay 2018,Germany,Rheinhessen,Krämer - Straight,3.9,8.99,2018
Maganza Zibibbo 2018,Italy,Terre Siciliane,Luna Gaia,3.9,8.6,2018
Chardonnay 2019,Germany,Pfalz,Schneider,3.7,15.9,2019
Goldloch Riesling GG 2016,Germany,Nahe,Diel,4.1,33.9,2016
Kieselberg GG 2015,Germany,Pfalz,Von Winning,4.1,33.95,2015
Catarratto 2019,Italy,Terre Siciliane,Feudi Branciforti dei Bordonaro,3.8,5.0,2019
Safari Pecorino 2017,Italy,Terre di Chieti,Bove,3.4,6.74,2017
Sauvignon Veneto 2019,Italy,Veneto,Torresella,3.8,6.77,2019
Berg Riesling 2018,France,Alsace,Domaine Pfister,4.2,15.9,2018
Grechetto 2018,Italy,Umbria,SIGNÆ,3.6,8.9,2018
Riesling 'Le Gallais' Wiltinger Braune Kupp Kabinett 2018,Germany,Wiltingen,Egon Müller - Scharzhof,4.3,38.94,2018
Unterebner Pinot Grigio 2018,Italy,Südtirol - Alto Adige,Tramin,3.7,20.37,2018
The Guv'nor Blanco 2019,Spain,Castilla,Félix Solís,3.7,6.89,2019
Oestricher Muschelkalk Riesling Trocken 2018,Germany,Rheingau,Spreitzer,3.8,10.4,2018
Mâcon-Prissé 2014,France,Mâcon-Prissé,Les Héritiers du Comte Lafon,3.7,25.92,2014
Kallstadter Steinacker Riesling 2015,Germany,Pfalz,Rings,4.0,19.0,2015
Kerner Carned 2018,Italy,Südtirol - Alto Adige,Cantina Kaltern,3.7,16.17,2018
Fehérburgundi 2017,Hungary,Sopron,Weninger,3.9,11.02,2017
Grauburgunder - Weissburgunder 2019,Germany,Pfalz,Weingut A. Diehl,3.4,7.05,2019
Weisser Burgunder Trocken 2013,Germany,Rheinhessen,Wittmann,3.9,10.63,2013
Ruppertsberg Riesling 2017,Germany,Pfalz,A. Christmann,3.7,19.87,2017
Weissburgunder Trocken 2017,Germany,Ahr,Burggarten,3.9,10.72,2017
Deep Blue 2018,Germany,Nahe,Martin Tesch,3.5,10.9,2018
Gewürztraminer - Riesling Trocken 2017,Germany,Pfalz,Knipser,3.9,10.9,2017
Veneto Bianco 2017,Italy,Veneto,Cantina di Soave,2.7,5.42,2017
Kalk & Stein 2017,Germany,Pfalz,Rings,4.1,16.7,2017
Schlossberg 2017,Germany,Rheingau,Schloss Vollrads,3.9,27.78,2017
Schick und Schön 2018,Germany,German Wine,Tina Pfaffmann,3.7,10.9,2018
R Chardonnay Nature 2018,Germany,Pfalz,Weingut Seckinger,3.7,15.4,2018
Johannisberg Riesling Alte Reben Trocken 2018,Germany,Rheingau,Trenz,3.8,11.9,2018
Live Wire Riesling 2019,Australia,Barossa,Langmeil,3.5,11.95,2019
Alejairén Airen 2017,Spain,La Mancha,El Vínculo,3.6,18.42,2017
Pinot Gris 2016,Luxembourg,Luxembourg,Château de Schengen,4.1,21.44,2016
Muscadet Sèvre-et-Maine Sur Lie 2017,France,Muscadet-Sevre et Maine,Marc Brédif,3.9,14.38,2017
W Riesling 2016,Germany,Mosel,Markus Molitor,3.4,31.68,2016
Ried Schafflerberg Grüner Veltliner 2018,Austria,Wagram,Leth,3.9,12.07,2018
Westhofener Weisser Burgunder - Chardonnay Trocken 2017,Germany,Rheinhessen,Wittmann,4.1,18.53,2017
Schiefer Riesling Trocken 2018,Germany,Mosel,Villa Huesgen,3.6,14.11,2018
Castel Firmian Pinot Grigio Riserva 2018,Italy,Teroldego Rotaliano,Mezzacorona,4.0,9.37,2018
Grauer Burgunder Trocken 2016,Germany,Baden,Bernhard Huber,3.8,17.79,2016
Chenin Blanc 2018,South Africa,Robertson,Klippenkop,3.6,6.54,2018
Côte de Rouffach Pinot Gris 2017,France,Alsace,René Muré,4.1,15.5,2017
Chardonnay Kalkstein Trocken 2018,Germany,Rheinhessen,Manz,3.9,11.5,2018
La Trucha Albariño 2019,Spain,Rías Baixas,Finca Garabelos,4.3,14.7,2019
Schlossberg Achkarren Grauburgunder GG 2016,Germany,Baden,Dr. Heger,4.0,28.0,2016
Frühtau Riesling Trocken 2018,Germany,Nahe,Emrich-Schönleber,3.9,17.5,2018
Pouilly-Vinzelles En Paradis 2018,France,Pouilly-Vinzelles,Louis Latour,3.8,15.98,2018
Sauvignon Blanc 2019,Germany,Pfalz,Ellermann-Spiegel,4.1,7.36,2019
Weissburgunder Trocken 2018,Germany,Nahe,Emrich-Schönleber,3.8,15.5,2018
Pinot Grigio 2019,Italy,Terre Siciliane,Epicuro,3.5,5.5,2019
